Date,Open,High,Low,Close,Volume
01/02/2015,216.87,265.61,212.01,254.26,"711,518,700.00"
01/03/2015,254.28,300.04,236.51,244.22,"959,098,300.00"
01/04/2015,244.22,261.8,214.87,236.15,"672,338,700.00"
01/05/2015,235.94,247.8,228.57,230.19,"568,122,600.00"
01/06/2015,230.23,267.87,221.3,263.07,"629,780,200.00"
01/07/2015,263.35,314.39,253.51,284.65,"999,892,200.00"
01/08/2015,284.69,285.71,199.57,230.06,"905,192,300.00"
01/09/2015,230.26,259.18,225.12,236.06,"603,623,900.00"
01/10/2015,236,334.17,235.62,314.17,"953,279,500.00"
01/11/2015,315.01,495.56,301,377.32,"2,177,623,396.00"
01/12/2015,377.41,469.1,349.46,430.57,"2,096,250,000.00"
01/01/2016,430.72,462.93,354.91,368.77,"1,990,880,304.00"
01/02/2016,369.35,448.05,367.96,437.7,"1,876,238,692.00"
01/03/2016,437.92,439.65,394.04,416.73,"2,332,852,776.00"
01/04/2016,416.76,467.96,415.83,448.32,"1,811,475,204.00"
01/05/2016,448.48,553.96,437.39,531.39,"2,234,432,796.00"
01/06/2016,531.11,777.99,525.64,673.34,"4,749,702,740.00"
01/07/2016,672.52,704.97,611.83,624.68,"3,454,186,204.00"
01/08/2016,624.6,626.12,531.33,575.47,"2,686,220,180.00"
01/09/2016,575.55,628.82,570.81,609.73,"2,004,401,400.00"
01/10/2016,609.93,720.4,609.48,700.97,"2,115,443,796.00"
01/11/2016,701.34,756.24,678.16,745.69,"2,635,773,092.00"
01/12/2016,746.05,979.4,746.05,963.74,"3,556,763,800.00"
01/01/2017,963.66,"1,191.10",755.76,970.4,"5,143,971,692.00"
01/02/2017,970.94,"1,200.39",946.69,"1,179.97","4,282,761,200.00"
01/03/2017,"1,180.04","1,280.31",903.71,"1,071.79","10,872,455,960.00"
01/04/2017,"1,071.71","1,347.91","1,061.09","1,347.89","9,757,448,112.00"
01/05/2017,"1,348.30","2,763.71","1,348.30","2,286.41","34,261,856,864.00"
01/06/2017,"2,288.33","2,999.91","2,212.96","2,480.84","44,478,140,928.00"
01/07/2017,"2,492.60","2,916.14","1,843.03","2,875.34","32,619,956,992.00"
01/08/2017,"2,871.30","4,736.05","2,668.59","4,703.39","63,548,016,640.00"
01/09/2017,"4,701.76","4,975.04","2,946.62","4,338.71","55,700,949,056.00"
01/10/2017,"4,341.05","6,470.43","4,164.05","6,468.40","58,009,357,952.00"
01/11/2017,"6,440.97","11,517.40","5,519.01","10,233.60","140,735,010,304.00"
01/12/2017,"10,198.60","20,089.00","9,694.65","14,156.40","410,336,495,104.00"
01/01/2018,"14,112.20","17,712.40","9,402.29","10,221.10","416,247,858,176.00"
01/02/2018,"10,237.30","11,958.50","6,048.26","10,397.90","229,717,780,480.00"
01/03/2018,"10,385.00","11,704.10","6,683.93","6,973.53","193,751,709,184.00"
01/04/2018,"7,003.06","9,745.32","6,526.87","9,240.55","196,550,010,624.00"
01/05/2018,"9,251.47","9,964.50","7,090.68","7,494.17","197,611,709,696.00"
01/06/2018,"7,500.70","7,754.89","5,826.41","6,404.00","130,214,179,584.00"
01/07/2018,"6,411.68","8,424.27","6,136.42","7,780.44","141,441,939,792.00"
01/08/2018,"7,769.04","7,769.04","5,971.05","7,037.58","132,292,770,000.00"
01/09/2018,"7,044.81","7,388.43","6,197.52","6,625.56","129,745,370,000.00"
01/10/2018,"6,619.85","6,965.06","6,236.47","6,317.61","118,436,880,000.00"
01/11/2018,"6,318.14","6,552.16","3,585.06","4,017.27","158,359,524,484.00"
01/12/2018,"4,024.46","4,309.38","3,191.30","3,742.70","168,826,809,069.00"
01/01/2019,"3,746.71","4,109.02","3,400.82","3,457.79","167,335,706,864.00"
01/02/2019,"3,460.55","4,210.64","3,391.02","3,854.79","199,100,675,597.00"
01/03/2019,"3,853.76","4,296.81","3,733.75","4,105.40","297,952,790,260.00"
01/04/2019,"4,105.36","5,642.04","4,096.90","5,350.73","445,364,556,718.00"
01/05/2019,"5,350.91","9,008.31","5,347.65","8,574.50","724,157,870,864.00"
01/06/2019,"8,573.84","13,796.49","7,564.49","10,817.16","675,855,385,074.00"
01/07/2019,"10,796.93","13,129.53","9,163.13","10,085.63","676,416,326,705.00"
01/08/2019,"10,077.44","12,273.82","9,421.63","9,630.66","533,984,971,734.00"
01/09/2019,"9,630.59","10,898.76","7,830.76","8,293.87","480,544,963,230.00"
01/10/2019,"8,299.72","10,021.74","7,446.99","9,199.58","595,205,134,748.00"
01/11/2019,"9,193.99","9,505.05","6,617.17","7,569.63","676,919,523,650.00"
01/12/2019,"7,571.62","7,743.43","6,540.05","7,193.60","633,790,373,416.00"
01/01/2020,"7,194.89","9,553.13","6,915.00","9,350.53","852,872,174,496.00"
01/02/2020,"9,346.36","10,457.63","8,492.93","8,599.51","1,163,376,492,768.00"
01/03/2020,"8,599.76","9,167.70","4,106.98","6,438.64","1,290,442,059,648.00"
01/04/2020,"6,437.32","9,440.65","6,202.37","8,658.55","1,156,127,164,831.00"
01/05/2020,"8,672.78","9,996.74","8,374.32","9,461.06","1,286,368,141,507.00"
01/06/2020,"9,463.61","10,199.57","8,975.53","9,137.99","650,913,318,680.00"
01/07/2020,"9,145.99","11,415.86","8,977.02","11,323.47","545,813,339,109.00"
01/08/2020,"11,322.57","12,359.06","11,012.42","11,680.82","708,377,092,130.00"
01/09/2020,"11,679.32","12,067.08","9,916.49","10,784.49","1,075,949,438,431.00"
01/10/2020,"10,795.25","14,028.21","10,416.69","13,781.00","1,050,874,546,086.00"
01/11/2020,"13,781.00","19,749.26","13,243.16","19,625.84","1,093,144,913,227.00"
01/12/2020,"19,633.77","29,244.88","17,619.53","29,001.72","1,212,259,707,946.00"
01/01/2021,"28,994.01","41,946.74","28,722.76","33,114.36","2,153,473,433,571.00"
01/02/2021,"33,114.58","58,330.57","32,384.23","45,137.77","2,267,152,936,675.00"
01/03/2021,"45,159.50","61,683.86","45,115.09","58,918.83","1,681,184,264,687.00"
01/04/2021,"58,926.56","64,863.10","47,159.48","57,750.18","1,844,481,772,417.00"
01/05/2021,"57,714.66","59,519.36","30,681.50","37,332.86","1,976,593,438,572.00"
01/06/2021,"37,293.79","41,295.27","28,893.62","35,040.84","1,189,647,451,707.00"
01/07/2021,"35,035.98","42,235.55","29,360.96","41,626.20","819,103,381,204.00"
01/08/2021,"41,460.84","50,482.08","37,458.00","47,166.69","1,014,674,184,428.00"
01/09/2021,"47,099.77","52,853.77","39,787.61","43,790.89","1,102,139,678,824.00"
01/10/2021,"43,816.74","66,930.39","43,320.02","61,318.96","1,153,077,903,534.00"
01/11/2021,"61,320.45","68,789.63","53,569.77","57,005.43","1,053,270,271,383.00"
01/12/2021,"56,907.96","59,041.68","42,874.62","46,306.45","957,047,184,722.00"
01/01/2022,"46,311.75","47,881.41","33,184.06","38,483.13","923,979,037,681.00"
01/02/2022,"38,481.77","45,661.17","34,459.22","43,193.23","671,335,993,325.00"
01/03/2022,"43,194.50","48,086.84","37,260.20","45,538.68","830,943,838,435.00"
01/04/2022,"45,554.16","47,313.48","37,697.94","37,714.88","830,115,888,649.00"
01/05/2022,"37,713.27","39,902.95","26,350.49","31,792.31","1,105,689,315,990.00"
01/06/2022,"31,792.55","31,957.29","17,708.62","19,784.73","923,939,211,678.00"
01/07/2022,"19,820.47","24,572.58","18,966.95","23,336.90","927,582,363,389.00"
01/08/2022,"23,336.72","25,135.59","19,600.79","20,049.76","894,192,654,543.00"
01/09/2022,"20,050.50","22,673.82","18,290.31","19,431.79","1,123,272,250,385.00"
01/10/2022,"19,431.11","20,988.39","18,319.82","20,495.77","957,903,424,925.00"
01/11/2022,"20,494.90","21,446.89","15,599.05","17,168.57","1,224,531,549,126.00"
01/12/2022,"17,168.00","18,318.53","16,398.14","16,547.50","541,356,716,034.00"
01/01/2023,"16,547.91","23,919.89","16,521.23","23,139.28","690,994,018,045.00"
01/02/2023,"23,137.84","25,134.12","21,460.09","23,147.35","723,968,574,897.00"
01/03/2023,"23,150.93","29,159.90","19,628.25","28,478.48","883,299,703,608.00"
01/04/2023,"28,473.33","31,005.61","27,070.85","29,268.81","511,540,319,004.00"
01/05/2023,"29,227.10","29,820.13","25,878.43","27,219.66","443,473,015,479.00"
01/06/2023,"27,218.41","31,389.54","24,797.17","30,477.25","481,734,214,225.00"
01/07/2023,"30,471.85","31,814.52","28,934.29","29,230.11","382,224,489,090.00"
01/08/2023,"29,230.87","30,176.80","25,409.11","25,931.47","437,724,169,499.00"
01/09/2023,"25,934.02","27,488.76","24,930.30","26,967.92","337,637,313,742.00"
01/10/2023,"26,967.40","35,150.43","26,558.32","34,667.78","476,425,634,860.00"
01/11/2023,"34,657.27","38,415.34","34,133.44","37,712.75","570,863,267,380.00"
01/12/2023,"37,718.01","44,705.52","37,629.36","42,265.19","721,704,910,480.00"
01/01/2024,"42,280.23","48,969.37","38,521.89","42,582.61","825,918,941,347.00"
01/02/2024,"42,569.76","63,913.13","41,879.19","61,198.38","830,721,862,621.00"
01/03/2024,"61,168.06","73,750.07","59,323.91","71,333.65","1,446,417,844,950.00"
01/04/2024,"71,333.48","72,715.36","59,120.07","60,636.86","1,016,068,331,704.00"
01/05/2024,"60,609.50","71,946.46","56,555.29","67,491.41","874,291,509,757.00"
01/06/2024,"67,489.61","71,907.85","58,601.70","62,678.29","726,773,965,644.00"
01/07/2024,"62,673.61","69,987.54","53,717.38","64,619.25","953,395,573,307.00"
01/08/2024,"64,625.84","65,593.24","49,121.24","58,969.90","1,043,105,485,208.00"
01/09/2024,"58,969.80","66,480.70","52,598.70","63,329.50","879,117,914,822.00"
01/10/2024,"63,335.61","73,577.21","58,895.21","70,215.19","993,732,418,048.00"
01/11/2024,"70,216.90","99,655.50","66,803.65","96,449.05","2,055,808,875,264.00"
01/12/2024,"96,461.34","108,268.45","91,317.13","93,429.20","2,057,355,570,135.00"
01/01/2025,"93,425.10","109,114.88","89,260.10","102,405.02","1,668,843,382,017.00"
01/02/2025,"102,402.80","102,755.73","78,248.91","84,373.01","1,257,276,788,562.00"
01/03/2025,"84,373.87","95,043.44","76,624.25","84,043.24","816,335,576,485.00"
