Date,Open,High,Low,Close,Volume
01/02/2015,"1,996.67","2,119.59","1,980.90","2,104.50","68,775,560,000.00"
01/03/2015,"2,105.23","2,117.52","2,039.69","2,067.89","76,675,850,000.00"
01/04/2015,"2,067.63","2,125.92","2,048.38","2,085.51","72,060,940,000.00"
01/05/2015,"2,087.38","2,134.72","2,067.93","2,107.39","65,187,730,000.00"
01/06/2015,"2,108.64","2,129.87","2,056.32","2,063.11","73,213,980,000.00"
01/07/2015,"2,067.00","2,132.82","2,044.02","2,103.84","77,920,590,000.00"
01/08/2015,"2,104.49","2,112.66","1,867.01","1,972.18","84,626,790,000.00"
01/09/2015,"1,970.09","2,020.86","1,871.91","1,920.03","79,989,370,000.00"
01/10/2015,"1,919.65","2,094.32","1,893.70","2,079.36","85,844,900,000.00"
01/11/2015,"2,080.76","2,116.48","2,019.39","2,080.41","75,943,590,000.00"
01/12/2015,"2,082.93","2,104.27","1,993.26","2,043.94","83,649,260,000.00"
01/01/2016,"2,038.20","2,038.20","1,812.29","1,940.24","92,409,770,000.00"
01/02/2016,"1,936.94","1,962.96","1,810.10","1,932.23","93,049,560,000.00"
01/03/2016,"1,937.09","2,072.21","1,937.09","2,059.74","92,639,420,000.00"
01/04/2016,"2,056.62","2,111.05","2,033.80","2,065.30","81,124,990,000.00"
01/05/2016,"2,067.17","2,103.48","2,025.91","2,096.95","78,883,600,000.00"
01/06/2016,"2,093.94","2,120.55","1,991.68","2,098.86","86,852,700,000.00"
01/07/2016,"2,099.34","2,177.09","2,074.02","2,173.60","69,530,250,000.00"
01/08/2016,"2,173.15","2,193.81","2,147.58","2,170.95","75,610,310,000.00"
01/09/2016,"2,171.33","2,187.87","2,119.12","2,168.27","77,023,620,000.00"
01/10/2016,"2,164.33","2,169.60","2,114.72","2,126.15","72,915,530,000.00"
01/11/2016,"2,128.68","2,214.10","2,083.79","2,198.81","88,445,380,000.00"
01/12/2016,"2,200.17","2,277.53","2,187.44","2,238.83","75,344,550,000.00"
01/01/2017,"2,251.57","2,300.99","2,245.13","2,278.87","70,576,420,000.00"
01/02/2017,"2,285.59","2,371.54","2,271.65","2,363.64","69,260,940,000.00"
01/03/2017,"2,380.13","2,400.98","2,322.25","2,362.72","81,664,010,000.00"
01/04/2017,"2,362.34","2,398.16","2,328.95","2,384.20","65,369,860,000.00"
01/05/2017,"2,388.50","2,418.71","2,352.72","2,411.80","79,719,460,000.00"
01/06/2017,"2,415.65","2,453.82","2,405.70","2,423.41","81,078,810,000.00"
01/07/2017,"2,431.39","2,484.04","2,407.70","2,470.30","63,348,090,000.00"
01/08/2017,"2,477.10","2,490.87","2,417.35","2,471.65","70,784,900,000.00"
01/09/2017,"2,474.42","2,519.44","2,446.55","2,519.36","66,624,120,000.00"
01/10/2017,"2,521.20","2,582.98","2,520.40","2,575.26","71,088,550,000.00"
01/11/2017,"2,583.21","2,657.74","2,557.45","2,647.58","73,416,960,000.00"
01/12/2017,"2,645.10","2,694.97","2,605.52","2,673.61","65,531,700,000.00"
01/01/2018,"2,683.73","2,872.87","2,682.36","2,823.81","77,318,690,000.00"
01/02/2018,"2,816.45","2,835.96","2,532.69","2,713.83","79,933,970,000.00"
01/03/2018,"2,715.22","2,801.90","2,585.89","2,640.87","76,803,890,000.00"
01/04/2018,"2,633.45","2,717.49","2,553.80","2,648.05","70,194,700,000.00"
01/05/2018,"2,642.96","2,742.24","2,594.62","2,705.27","76,011,820,000.00"
01/06/2018,"2,718.70","2,791.47","2,691.99","2,718.37","77,891,360,000.00"
01/07/2018,"2,704.95","2,848.03","2,698.95","2,816.29","64,898,300,000.00"
01/08/2018,"2,821.17","2,916.50","2,796.34","2,901.52","69,523,070,000.00"
01/09/2018,"2,896.96","2,940.91","2,864.12","2,913.98","63,031,510,000.00"
01/10/2018,"2,926.29","2,939.86","2,603.54","2,711.74","91,930,980,000.00"
01/11/2018,"2,717.58","2,815.15","2,631.09","2,760.17","80,620,020,000.00"
